name,dynasty,description
汪遵,[唐] ? ~ ?,唐宣州宣城人。懿宗咸通七年进士。初为县小吏，昼夜苦读。工绝句诗。
牟融,[唐] ? ~ ?,唐人。德宗、宪宗间在世。隐居学道，终身未仕。以诗名，尤擅七律，诗风清丽闲雅，时有佳句。与诗人张籍、韩翃、欧阳詹、朱庆馀等均有唱和。有集。
孙逖,[唐] 696? ~ 761?,唐博州武水人。幼而有文，属思警敏，援笔成篇。崔日用与为亡年交，以是声誉益重。玄宗开元初，制举登科，授山阴尉。后又应文藻宏丽科登第，拜左拾遗。张说尤重其才。开元二十一年，入为考功员外郎，选贡士两年，多得俊才。二十四年，拜中书舍人。天宝初，权刑部侍郎。后以风疾求散秩，改太子左庶子。掌诰八年，制敕所出，为时流叹服。善诗，古调今格，悉其所长，加之谦退不伐，人多称之。卒谥文。有《孙逖集》、《唐宋集贤诗集》
王周,[五代十国] ? ~ 948年,五代时魏州人。少勇健。事后唐累历郡守。后晋高祖天福初，以战功历贝州、泾州节度使。问民疾苦，去苛弊，民庶悦焉。后汉高祖立，移镇武宁。卒官。
常建,[唐] ? ~ ?,唐代诗人，字号不详，祖籍邢州（今邢台），开元十五年与王昌龄同榜进士，长仕宦不得意，来往山水名胜，过着一个很长时期的漫游生活。后移家隐居鄂渚。大历中，曾任盱眙尉。常建的诗现存不多，其中《题破山寺后禅院》较为著名。
崔国辅,[唐] ? ~ ?,唐吴郡人。玄宗开元十四年登进士第，历官山阴尉、许昌令、集贤院直学士、礼部员外郎等职。天宝十一载，因受王鉷案牵连，贬竟陵郡司马。及与陆羽游，品茶评水，时以为佳话。工诗，尤长五绝，颇存六朝吴歌遗韵。有集。
令狐楚,[唐] 766年 ~ 837年,唐宜州华原人，字壳士，自号白云孺子。德棻后裔。宪宗时，以能为辞章，尤善笺奏制令，进中书舍人。以与皇甫镈、李逢吉结党逐裴度，出为华州刺史。元和十四年，入为中书侍郎、同中书门下平章事。穆宗时进门下侍郎，出为宣歙观察使，以太子宾客分司东都。敬宗时迁宣武节度使，召为尚书右仆射，拜彭阳郡公。所至皆有善政。卒于山南西道节度使。谥文。有《漆奁集》，又选有《元和御览诗》。
段成式,[唐] ? ~ 863年,唐齐州临淄人，世居荆州，字柯古。段文昌子。以荫为校书郎。研精苦学，秘阁书籍，披阅皆遍，尤深于佛书。累迁尚书郎。历吉州刺史、太常少卿。懿宗咸通初，出为江州刺史。解印，寓居襄阳，以闲放自适。与李商隐、温庭筠均长于以四六文撰写奏章公文，三人皆行十六，时号“三十六体”。又撰有笔记小说集《酉阳杂俎》。
裴说,[五代十国] ? ~ ?,五代时桂州人。少逢唐末乱世，奔走江西、湖南等地，自叹“避乱一身多”，识者悲之。屡行卷，久不第。至哀帝天祐三年，方以状元及第。后梁时，累迁补阙，终礼部员外郎。与弟裴谐皆有诗名，诗风近贾岛，苦吟有奇思。有集。
皇甫曾,[唐] ? ~ ?,唐安定人，字孝常。皇甫冉弟。玄宗天宝间进士。历侍御史。后坐事贬舒州司马，移阳翟令。工诗，出王维之门，诗名与兄相上下。有诗集。
于武陵,[唐] ? ~ ?,唐末五代时京兆杜陵人，名邺，以字行。唐宣宗大中时，举进士不第。往来商洛、巴蜀间。尝卖卜于市，隐居自适。后欲卜居潇湘，未果。一说唐末登进士第，五代时仕后唐，曾任都官员外郎、工部郎中。后唐明宗天成三年自缢卒。工诗，尤善五律。有集。
高骈,[唐] 821年 ~ 887年,高骈，字千里，南平郡王高崇文之孙，晚唐诗人、名将、军事家。高骈出生于禁军世家，其一生辉煌之起点为866年率军收复交趾，破蛮兵20余万。后历任天平、西川、荆南、镇海、淮南等五镇节度使。期间正值黄巢大起义，高骈多次重创起义军。被唐僖宗任命为诸道行营兵马都统。后中黄巢缓兵之计，大将张璘阵亡。高骈由此不敢再战，致使黄巢顺利渡江、攻陷长安。此后至长安收复的三年间，淮南未出一兵一卒救援京师，高骈一生功名毁之一旦。高骈嗜好装神弄鬼，几乎达到癫狂的程度。后被部将毕师铎所害。
于濆,[唐] ? ~ ?,唐京兆长安人，字子漪。武宗时始就试，曾游边塞。懿宗咸通二年登进士第，官终泗州判官。工诗，尤长于古风，颇有针砭时弊之作。
杨衡,[唐] ? ~ ?,唐凤翔陈仓人，字中师。早年随父客蜀，曾隐居青城山。后与苻载、王简言、李元象同隐庐山，结草堂于五老峰下，号山中四友。德宗贞元中登进士第。贞元七年随桂管观察使齐映至桂州，后又入广州岭南节度使薛珏幕。贞元十六年任桂阳郡从事、郴州仓曹参军。官至试大理评事。
鱼玄机,[唐] 844年 ~ 871年,鱼玄机，女，晚唐诗人，长安（今陕西西安）人。初名鱼幼微，字蕙兰。咸通（唐懿宗年号，860—874）中为补阙李亿妾，以李妻不能容，进长安咸宜观出家为女道士。与著名文学家温庭筠为忘年交，唱和甚多。后被京兆尹温璋以打死婢女之罪名处死。鱼玄机性聪慧，有才思，好读书，尤工诗。与李冶、薛涛、刘采春并称唐代四大女诗人。其诗作现存五十首，收于《全唐诗》。有《鱼玄机集》一卷。其事迹见《唐才子传》等书。
包佶,[唐] ? ~ ?,唐润州延陵人，一说湖州人，字幼正。包融子。玄宗天宝六年进士。累官至秘书监。与韩洄、元琇、李衡等皆出于刘晏门下。德宗贞元以后，相继掌天下财利。历汴东两税使，诸道盐铁等使，迁刑部侍郎、太常少卿，拜谏议大夫、御史中丞。工诗。与兄包何齐名，时称二包，又与父、兄号三包。有诗集。
张继,[唐] 715年 ~ 779年,张继，字懿孙，汉族，襄州人（今湖北襄阳人）。唐代诗人，他的生平不甚可知。据诸家记录，仅知他是天宝十二年（公元七五三年）的进士。大历中，以检校祠部员外郎为洪州（今江西南昌市）盐铁判官。他的诗爽朗激越，不事雕琢，比兴幽深，事理双切，对后世颇有影响。但可惜流传下来的不到50首，最著名的诗是《枫桥夜泊》。
崔峒,[唐] ? ~ ?,唐博陵人。登进士第。历左拾遗，改右补阙，以故谪为潞府功曹。约卒于德宗贞元初。工诗，语言典丽精工。有集。
武则天,[唐] 624年 ~ 705年,武则天，并州文水（今山西文水县东）人，唐朝功臣武士彟次女、母杨氏。中国历史上唯一掌握君权而得到普遍承认的女皇帝，也是即位年龄最大（67岁即位）、寿命最长的皇帝之一（终年82岁）。十四岁入后宫为唐太宗的才人，唐太宗赐号“武媚”，唐高宗时初为昭仪，後为皇后，尊号为天后，与唐高宗李治并称二圣，作为唐中宗、唐睿宗的皇太后临朝称制，期间，改名为“曌”。武则天认为自己好像日、月一样崇高，凌挂于天空之上。後自立为皇帝，定洛阳为都，改称神都，建立武周王朝，神龙元年（705年）正月，武则天病笃，宰相张柬之发动兵变，迫使武氏退位，史称神龙革命。唐中宗复辟，恢复唐朝，上尊号“则天大圣皇帝”，後遵武氏遗命改称“则天大圣皇后”，以皇后身份入葬乾陵，唐玄宗开元四年（公元716年），改谥号为则天皇后，天宝八年（公元749年），加谥则天顺圣皇后。
崔颢,[唐] 704年 ~ 754年,崔颢，唐代诗人，汴州（今河南开封）人。开元十一年（723年）中进士，官司勋员外郎。现存诗仅四十多首，最有名的一首莫过于《黄鹤楼》。少年时作的诗多写闺情，流于浮艳，后历边塞，诗风变得雄浑奔放。他四处游历。崔颢吟诗甚勤，其友人笑他吟诗吟得人也瘦（非子病如此，乃苦吟诗瘦耳）。明人辑有《崔颢集》。李白叹云：“眼前有景道不得，崔颢题诗在上头”
周朴,[唐] ? ~ 878年,周朴，字见素，一作太朴，福州长乐人。生年不详，卒于唐僖宗乾符五年。工于诗，无功名之念，隐居嵩山，寄食寺庙中当居士，常与山僧钓叟相往还。与诗僧贯休、方干、李频为诗友。周朴，唐末诗人，生性喜欢吟诗，尤其喜欢苦涩的诗风。
王绩,[唐] 589年 ~ 644年,王绩，字无功，号东皋子，绛州龙门（今山西河津）人，唐代诗人。隋末举孝廉，除秘书正字。不乐在朝，辞疾，复授扬州六合丞。时天下大乱，弃官还故乡。唐武德中，诏以前朝官待诏门下省。贞观初，以疾罢归河渚间，躬耕东皋，自号“东皋子”。性简傲，嗜酒，能饮五斗，自作《五斗先生传》，撰《酒经》、《酒谱》。其诗近而不浅，质而不俗，真率疏放，有旷怀高致，直追魏晋高风。律体滥觞于六朝，而成型于隋唐之际，无功实为先声。
贾至,[唐] 718年 ~ 772年,唐河南洛阳人，字幼邻，一作幼几。贾曾子。玄宗天宝中擢明经第。为单父尉。从帝奔蜀，拜起居舍人、知制诰。帝传位肃宗，遣为传位册文，迁中书舍人。肃宗至德中，将军王去荣坐事当斩，帝惜其材，诏贷死，至切谏，以为坏法当诛。坐小法，贬岳州司马。历迁尚书左丞、礼部侍郎。代宗大历初，徙兵部，除京兆尹。官终右散骑常侍。卒谥文。有集。
灵一,[唐] 728年 ~ 762年,唐僧。广陵人，俗姓吴。九岁出家，及冠受具足戒。居馀杭宜丰寺。禅诵之暇，辄赋诗歌。与朱放、张籍、皇甫曾等为尘外友，酬赠甚多。有诗集。
聂夷中,[唐] 837年 ~ ?,唐河东人，一说河南人，字坦之。出身贫寒，备尝艰辛。咸通十二年进士。久滞长安，补华阴尉。其诗多为五言，名篇有《咏田家》、《公子行》等。有集。
张谓,[唐] ? ~ ?,张谓（生卒年不详），字正言，河内（今河南沁阳市）人，唐朝诗人，《早梅》的作者，排行十四，唐代。天宝二年登进士第，约十三、四载，入安西节度副大使封常清幕，参预谋划有功。肃宗乾元元年（758）为尚书郎，出使夏口，与故友李白相遇。代宗永泰初，在淮南田神功幕中任军职。乾元中为尚书郎，大历二、三年任潭州刺史，与诗人元结有交往，后入朝为太子左庶子，六年（771）冬，任礼部侍郎，典七、八、九年贡举，时人称其能“妙选彦才”，复知东都举。其诗辞精意深，讲究格律，诗风清正，多饮宴送别之作。代表作有《早梅》《邵陵作》《送裴侍御归上都》等，其中以《早梅》为最著名。
曹唐,[唐] ? ~ ?,唐桂州临桂人，字尧宾。初为道士。返俗后，屡举进士不中，后为邵州、容管等使府从事。工诗，与杜牧、李远等友善。所作《游仙诗》，意境绚丽，颇为世传诵。
杜审言,[唐] 645年 ~ 708年,杜审言，字必简，唐朝襄州襄阳（今湖北襄阳）人，后迁居河南巩县，官修文馆直学士。唐高宗咸亨进士，唐中宗时，因与张易之兄弟交往，被流放峰州（今越南越池东南）。曾任隰城尉、洛阳丞等小官，累官修文馆直学士，与李峤、崔融、苏味道被称为“文章四友”，是唐代“近体诗”的奠基人之一，作品多朴素自然。其五言律诗，格律谨严。原有集，已散佚，后人辑有《杜审言诗集》。
裴夷直,[唐] ? ~ ?,唐苏州吴县人，字礼卿。宪宗元和十年进士。工诗，有盛名。历迁右拾遗、中书舍人。武宗立，夷直视册牒不肯署，出为杭州刺史，斥驩州司户参军。宣宗即位初，内徙，为兵部郎中，江、苏、华等州刺史。官终散骑常侍。有诗集。
谭用之,[五代十国] ? ~ ?,五代至宋初人，字藏用。仕途不达，长年流寓他乡。工诗，尤擅七律，长于写景。有集。
李乂,[唐] ? ~ ?,唐赵州房子人，本名尚真，一作字尚真。举进士，累迁中书舍人、吏部侍郎、知制诰。典选事，请谒不行，时人语曰：“李下无蹊径。”转黄门侍郎，封中山郡公。太平公主干政，欲引乂自附，乂绝之。官终刑部尚书。卒年六十八，谥贞。乂方雅有学识，时称有宰相器。兄李尚一、李尚贞，俱以文章名，同为一集，号《李氏花萼集》。
窦巩,[唐] 772或773年 ~ 831或832年,唐扶风平陵人，字友封。窦庠弟。宪宗元和二年进士。袁滋辟为从事及掌书记。入朝拜刑部郎中。元稹观察浙东，奏为副使、检校秘书少监、兼御史中丞。平居与人言不出口，时号“嗫嚅翁”。工五言诗。与兄窦常、窦牟、窦群、窦庠合有《窦氏联珠集》。
储嗣宗,[唐] ? ~ ?,唐人。宣宗大中进士。与顾非熊相结好，以诗著名。有集。
司马扎,[唐] ? ~ ?,生卒年、籍贯皆不详。扎，一作礼。侨居茂陵(今陕西兴平东北)。宣宗大中（公元847年-公元858年）时人，与储嗣宗同时。应举不第，终生落拓，奔走四方，备极艰辛。事迹散见其诗与《直斋书录解题》卷一九。其诗颇能体察民生疾苦，有讽谕之旨。诗风古朴，无晚唐浮艳习气，实为当时之佼佼者。其《宫怨》一诗，颇为周容所称赏，谓“较蕴藉，不碍大雅”(《春酒堂诗话》)。许学夷亦评其诗“间有远韵，亦能成篇”(《诗源辨体》卷三一)。辛文房则谓其与王周等人“皆气卑格下”(《唐才子传》卷一〇)。《直斋书录解题》著录《司马先辈集》一卷，今已佚。《全唐诗》存诗一卷。
杨凝式,[五代十国] 873年 ~ 954年,五代时华阴人，字景度，号虚白、癸巳子、希维居士等。杨涉子。幼颖悟，富有文藻，大为时辈所推。唐天祐进士，授秘书郎，直史馆。后历事后梁、后唐、后晋、后汉、后周，官至太子太保，人称杨少师。以心疾致仕。长于歌诗，善于笔札，尤工行草，得欧阳询、颜真卿笔法。洛川寺观蓝墙粉壁上，题纪殆遍，时人以其纵诞，有杨疯子之号。有《步虚词》等。
李煜,[五代十国] 937年 ~ 978年,李煜，五代十国时南唐国君，961年·975年在位，字重光，初名从嘉，号钟隐、莲峰居士。彭城（今江苏徐州）人。南唐元宗李璟第六子，于宋建隆二年（961年）继位，史称李后主。开宝八年，宋军破南唐都城，李煜降宋，被俘至汴京，封为右千牛卫上将军、违命侯。后因作感怀故国的名词《虞美人》而被宋太宗毒死。李煜虽不通政治，但其艺术才华却非凡。精书法，善绘画，通音律，诗和文均有一定造诣，尤以词的成就最高。千古杰作《虞美人》、《浪淘沙》、《乌夜啼》等词。在政治上失败的李煜，却在词坛上留下了不朽的篇章，被称为“千古词帝”。
虞世南,[唐] 558年 ~ 638年,虞世南，字伯施，汉族，越州余姚（今浙江省慈溪市观海卫镇鸣鹤场）人。南北朝至隋唐时著名书法家、文学家、诗人、政治家，凌烟阁二十四功臣之一。陈朝太子中庶子虞荔之子、隋朝内史侍郎虞世基之弟。 虞世南生性沉静寡欲，意志坚定努力学习。在陈朝时，曾任建安王法曹参军、西阳王友。入隋后，官秘书郎、起居舍人。隋朝灭亡后，被窦建德任命为黄门侍郎。李世民灭窦建德后，引虞世南为秦王府参军、记室参军、弘文馆学士，与房玄龄等共掌文翰，为“十八学士”之一。太宗贞观年间，历任著作郎、秘书少监、秘书监等职，先后封永兴县子、永兴县公，故世称“虞永兴、虞秘监”。他虽容貌怯懦、弱不胜衣，但性情刚烈，直言敢谏，深得太宗敬重。贞观十二年（638年）卒，年八十一，获赠礼部尚书，谥号文懿[2] ，配葬昭陵。贞观十七年（643年），绘像凌烟阁。 唐太宗称他德行、忠直、博学、文词、书翰为五绝。善书法，与欧阳询、褚遂良、薛稷合称“初唐四大家”。日本学界称欧阳询、褚遂良、虞世南为“初唐三大家”。其所编的《北堂书钞》被誉为唐代四大类书之一，是中国现存最早的类书之一。原有诗文集30卷，但已散失不全。民国张寿镛辑成《虞秘监集》 4卷，收入 《四明丛书》。
祖咏,[唐] ? ~ ?,"祖咏，生卒年不详，字、号均不详，唐代诗人，洛阳（今河南洛阳）人。少有文名，擅长诗歌创作。与王维友善。王维在济州赠诗云：""结交二十载，不得一日展。贫病子既深，契阔余不浅。""（《赠祖三咏》）其流落不遇的情况可知。开元十二年（724），进士及第，长期未授官。后入仕，又遭迁谪，仕途落拓，后归隐汝水一带。"
秦韬玉,[唐] ? ~ ?,秦韬玉，生卒年不详，字仲明，京兆长安（今陕西西安）人，或云郃阳（今陕西合阳）人，唐代诗人。出生于尚武世家，父为左军军将。少有词藻，工歌吟，却累举不第，后谄附当时有权势的宦官田令孜，充当幕僚，官丞郎，判盐铁。黄巢起义军攻占长安后，韬玉从僖宗入蜀，中和二年（882）特赐进士及第，编入春榜。田令孜又擢其为工部侍郎、神策军判官。时人戏为“巧宦”，后不知所终。
秦系,[唐] ? ~ ?,唐越州会稽人，字公绪。玄宗天宝末避乱剡溪，自称东海钓客。后结庐于泉州南安九日山，号南安居士。注《老子》，弥年不出。与刘长卿、韦应物友善，以诗相赠答。后东渡秣陵。年八十余卒。有诗集。
徐彦伯,[唐] ? ~ 714年,唐兖州瑕丘人，名洪，以字行。以对策擢第。七岁能文，结庐太行山下。累授蒲州司兵参军。时司户韦嵩善判，司士李亘工书，而彦伯属辞，时称河东三绝。武则天时，为给事中，迁宗正卿，出为齐州刺史。中宗复位，改太常少卿，以修《武后实录》劳，封高平县子。未几，出为卫州刺史，以善政闻。官终太子宾客。有集。
陆畅,[唐] ? ~ ?,唐苏州吴人，字达夫。宪宗元和元年进士。历迁秘书丞、江西观察判官。剖断公事，人人不冤。终日长吟，不视公牍，观察使王仲舒微言之，竟拂衣去。
魏徵,[唐] 580年 ~ 643年,魏徵，字玄成，钜鹿郡（一说在今河北省巨鹿县，一说在今河北省馆陶县 ，也有说在河北晋州）人，唐朝政治家、思想家、文学家和史学家，因直言进谏，辅佐唐太宗共同创建“贞观之治”的大业，被后人称为“一代名相”。 贞观十七年（公元643年），魏徵病死。官至光禄大夫，封郑国公，谥号“文贞”。葬礼从简。同年入凌烟阁。 魏徵陵墓位于陕西省礼泉县。著有《隋书》序论，《梁书》、《陈书》、《齐书》的总论等。其言论多见《贞观政要》。其中最著名，并流传下来的谏文表---《谏太宗十思疏》。
李远,[唐] ? ~ ?,唐蜀人。字求古，一作承古。太和进士。历忠、建、江三州刺史。终御史中丞。有诗集。
唐求,[唐] ? ~ ?,名或作球。唐末蜀人，世称唐隐居。好吟诗，有所得，即将稿捻为丸，投入瓢中。后卧病，投瓢于江。瓢至新渠，有识之者检得，十才二三。
褚亮,[隋] ? ~ ?,唐杭州钱塘人，其先居阳翟，字希明。褚玠子。少博览图史，能诗。年十八，为南朝陈仆射徐陵及陈后主称赏，擢尚书殿中侍郎。隋时为太常博士，坐事贬。入唐，授秦王府文学。太宗贞观中累迁散骑常侍，封阳翟县侯，为文学馆“十八学士”之一。致仕归，卒年八十八。谥康。有集。
孙光宪,[五代十国] 901年 ~ 968年,孙光宪（901-968），字孟文，自号葆光子，属鸡，出生在陵州贵平（今属四川省仁寿县东北的向家乡贵坪村）。仕南平三世，累官荆南节度副使、朝议郎、检校秘书少监，试御史中丞。入宋，为黄州刺史。太祖乾德六年卒。《宋史》卷四八三、《十国春秋》卷一○二有传。孙光宪“性嗜经籍，聚书凡数千卷。或手自钞写，孜孜校雠，老而不废”。著有《北梦琐言》、《荆台集》、《橘斋集》等，仅《北梦琐言》传世。词存八十四首，风格与“花间”的浮艳、绮靡有所不同。刘毓盘辑入《唐五代宋辽金元名家词集六十种》中，又有王国维缉《孙中丞词》一卷。
李昌符,[唐] ? ~ 887年,唐人。李昌言弟。僖宗中和四年，昌言病，表昌符为凤翔节度使留后。昌言卒，制以为凤翔节度使。光启三年，反，犯大安门，不克，奔陇州。旋被诛。
于邺,[唐] ? ~ ?,见于武陵。
高蟾,[唐] ? ~ ?,字不详，河朔间人。生卒年均不详，约唐僖宗中和初前后在世。家贫，工诗，气势雄伟。性倜傥，然尚气节，虽人与千金，非义勿取。十年场屋，未得一第，自伤运蹇，有“颜色如花命如叶”句。与郎中郑谷为友，酬赠称高先辈。乾符三年，（公元八七六年）以高侍郎之力荐，始登进士。乾宁中，（公元八九六年左右）官至御史中丞。蟾著有诗集一卷，《新唐书·艺文志》传于世。
崔湜,[唐] 671年 ~ 713年,唐定州安喜人，字澄澜。崔仁师孙。第进士。为左补阙。中宗神龙初，桓彦范等引为耳目，令伺武三思动静。湜见三思势大，反附三思，由考功员外郎骤迁中书舍人。中宗景龙中，依上官婉儿、韦后及安乐公主，任中书侍郎、同中书门下平章事。以典选纳赂，贬江州司马，改襄州刺史。韦氏称制，复同中书门下三品。睿宗景云中又附太平公主，进为中书令。玄宗立，太平公主被杀，湜亦赐死。
尚颜,[唐] ? ~ ?,唐末僧。俗姓薛，字茂圣。宣宗大中间，曾作诗送陆肱应试。僖宗乾符间，依徐州节度使薛能。后住荆州。昭宗景福间入京。光化间为文章供奉，赐紫。后复归荆州。与诗人方干、郑谷、李洞、司空图等为友。卒年逾九十岁。诗法贾岛，长于五律，有集。
姚鹄,[唐] ? ~ ?,唐蜀中人，字居云。早年居蜀，常出入公卿间。武宗会昌三年，以李德裕荐，登进士第。懿宗咸通十一年，累官至台州刺史。为诗清拔。有集。
邵谒,[唐] ? ~ ?,唐韶州翁源人。少为县吏，触县令怒，被逐。遂截发悬于县门，发愤读书，博通经史。懿宗咸通七年赴京，隶国子监。工诗，所作多刺时事。
杨炯,[唐] 650年 ~ ?,杨炯，华州华阴（今陕西华阴市）人，唐代诗人。唐初文坛“四杰”之一。他自幼聪明好学，博涉经传，尤爱学诗词。唐高宗显庆四年（659），他10岁应神童试登第，待制弘文馆。上元三年（676），再应制举试及第，补授校书郎。永淳元年（682），中书侍郎薛元超推荐他为弘文馆学士，后迁太子詹事司直。684年，武则天连废中宗、睿宗，自己临朝称制。徐敬业在扬州起兵反对武则天，杨炯的堂弟杨神让跟随徐敬业讨伐武则天执政，结果兵败被杀。杨炯由此事受到牵连，大约在685年被贬为梓州司法参军。秩满后，于天授元年回到洛阳，在司艺馆任教。天授三年（692）七月十五日，洛阳宫中拿出盂兰盆分送佛寺，武则天与群臣在洛阳城门楼上观赏，杨炯立即写成《盂兰盆赋》一篇，进献给武则天，极力歌颂武则天的周王朝，并希望武则天“任贤相，淳风俗，远佞人，措刑狱，省游宴，披图策，捐珠玑，宝菽粟”等成为帝王的风范。大约当年，杨炯调任盈川县令。他在盈川大约三年多时间，卒于任所。后归葬于洛阳。705年，中宗复位，曾追赠他为著作郎。因此后人称他为“杨盈川”。
林宽,[唐] ? ~ ?,生卒年不详。侯官(今福建闽侯)人。宽与唐末诗人李频、许棠等友善，与黄滔尤亲笃，相知数十年。举进士试，久乃登第。曾入太学，又曾游边塞，尝赋诗自言“无端游绝塞，归鬓已苍然。戎羯围中过，风沙马上眠”(《塞上还答友人》)。事迹散见其诗及黄滔《寄林宽》、《延福里居和林宽何绍余酬寄》、《直斋书录解题》卷一九。宽诗多律、绝，尤以七绝《终南山》、《歌风台》为出色。所作古诗《苦雨》，颇受韩愈险奥诗风影响。《直斋书录解题》卷一九著录《林宽集》1卷。《全唐诗》存诗1卷。
刘希夷,[唐] 约651年年 ~ 约680年年,"刘希夷 ，唐朝诗人。一名庭芝，字延之（一作庭芝），汉族，汝州（今河南省汝州市）人。 高宗上元二年进士，善弹琵琶。其诗以歌行见长，多写闺情，辞意柔婉华丽，且多感伤情调。《代悲白头翁》有“年年岁岁花相似，岁岁年年人不同”句，相传其舅宋之问欲据为已有，希夷不允，之问竟遣人用土囊将他压死。延之少有文华，落魄不拘常格，后为人所害，死时年未三十。原有集，已失传。 《旧唐书》本传谓“善为从军闺情之诗,词调哀苦,为时所重。志行不修,为奸人所杀”。《大唐新语》卷8谓“后孙翌撰《正声集》,以希夷为集中之最”。《全唐诗》存诗1卷, 《全唐诗外编》、《全唐诗续拾》补诗7首。 刘希夷善为从军闺情诗，辞藻婉丽，然意旨悲苦，未为人重。后孙昱撰《正声集》，以希夷诗为集中之最，由是大为时所称赏。代表作有《从军行》、《采桑》、《春日行歌》、《春女行》、《捣衣篇》、《代悲白头翁》、《洛川怀古》等。"
冯延巳,[五代十国] 903年 ~ 960年,冯延巳，又名延嗣，字正中，五代广陵（今江苏省扬州市）人。在南唐做过宰相，生活过得很优裕、舒适。他的词多写闲情逸致辞，文人的气息很浓，对北宋初期的词人有比较大的影响。宋初《钓矶立谈》评其“学问渊博，文章颖发，辩说纵横”，其词集名《阳春集》。
王维,[唐] ? ~ 835年,王维（701年－761年，一说699年—761年），字摩诘，汉族，河东蒲州（今山西运城）人，祖籍山西祁县，唐朝诗人，有“诗佛”之称。苏轼评价其：“味摩诘之诗，诗中有画；观摩诘之画，画中有诗。”开元九年（721年）中进士，任太乐丞。王维是盛唐诗人的代表，今存诗400余首，重要诗作有《相思》《山居秋暝》等。王维精通佛学，受禅宗影响很大。佛教有一部《维摩诘经》，是王维名和字的由来。王维诗书画都很有名，多才多艺，音乐也很精通。与孟浩然合称“王孟”。
雍裕之,[唐] ? ~ ?,唐成都人。数举进士不第，飘零四方。代宗末至德宗初，曾至潞州谒泽潞节度使李抱真。工诗，长于绝句。
翁承赞,[五代十国] ? ~ ?,唐五代时莆田人，字文尧，一作福清人，字文饶，号狎鸥翁。唐昭宗乾宁三年进士，又擢弘词科。初为京兆府参军。天祐中以右拾遗受诏册王审知为闽王。后梁太祖开平中复为闽王册礼副使。寻擢福建盐铁使，就加左散骑常侍御史大夫。后依审知，遂为闽相，卒。工诗，有《昼锦》、《弘词》等集。
颜真卿,[唐] 709年 ~ 784年,唐琅邪临沂人，字清臣。小名羡门子，别号应方。颜师古五世从孙。玄宗开元二十二年进士。又擢制科。累擢武部员外郎。为杨国忠所挤，出为平原太守。安禄山叛，约从兄常山太守颜杲卿等起兵抵抗，响应者众，共推为盟主，兵至二十万。肃宗立，为河北招讨使。诸郡复陷，间道奔凤翔，累除御史大夫，出为冯翊太守。以直不容，屡贬官。历迁尚书右丞、吏部尚书、太子太师，封鲁郡公，世称颜鲁公。德宗时，卢杞恶之，会李希烈叛，命往劝谕，遂为希烈缢死。谥文忠。工书法，初学褚遂良，后从张旭，创为“颜体”。有集及《韵海镜源》等。
张泌,[唐] ? ~ ?,张泌，生卒年不详，《全唐诗》作曰字子澄，安徽淮南人。五代后蜀词人。是花间派的代表人物之一。其词用字工炼，章法巧妙，描绘细腻，用语流便。
孟贯,[五代十国] ? ~ ?,五代时建安人。初客江南。后周世宗显德中，帝征淮安，贯以所撰诗献之，遂释褐授官。好学，喜游历，礼义文章为时所称。
崔橹,[唐] ? ~ ?,唐荆南人。僖宗广明间登进士第，仕至棣州司马。慕杜牧为诗，才情丽而近荡，尤善咏物。有集，已佚。
张仲素,[唐] 769年 ~ 819年,"唐代诗人，字绘之，符离（今安徽宿州）人，郡望河间鄚县（今河北任丘）。贞元十四年(798)进士，又中博学宏词科，为武宁军从事，元和间，任司勋员外郎，又从礼部郎中充任翰林学士，迁中书舍人。张仲素擅长乐府诗，善写思妇心情。如""袅袅城边柳，青青陌上桑。提笼忘采叶，昨夜梦渔阳""（《春闺思》），""梦里分明见关塞，不知何路向金微""（《秋闺思》），刻画细腻，委婉动人。其他如《塞下曲》等，语言慷慨，意气昂扬，歌颂了边防将士的战斗精神。"
熊孺登,[唐] ? ~ ?,唐洪州钟陵人。登进士第。宪宗元和中，为西川从事。十年，元稹荐其至江州谒见白居易。历湘阳判官。十三年，罢归钟陵。以能诗名，与刘禹锡、灵澈、费冠卿等有唱和。有集。
刘方平,[唐] ? ~ ?,刘方平（生卒年不详），字、号均不详，唐玄宗天宝年间诗人，洛阳（今河南洛阳）人，生平事迹不详。约公元七五八年前后在世，匈奴族。天宝前期曾应进士试，又欲从军，均未如意，从此隐居颍水、汝河之滨，终生未仕。与皇甫冉、元德秀、李颀、严武为诗友，为薪颖士赏识。工诗，善画山水。其诗多咏物写景之作，尤擅绝句，其诗多写闺情、乡思，思想内容较贫弱，但艺术性较高，善于寓情于景，意蕴无穷。其《月夜》、《春怨》、《新春》、《秋夜泛舟》等都是历来为人传诵的名作。
卢肇,[唐] ? ~ ?,唐袁州宜春人，一作望蔡人，字子发。武宗会昌三年，进士状元及第。初为鄂岳卢商从事，其后江陵节度裴休、太原节度卢简求奏为门吏。后除著作郎，充集贤院直学士。懿宗咸通中，历歙、宣、池、吉四州刺史，卒。初李德裕谪袁州长史，殊遇肇。及德裕入相，肇绝无依附。有《文标集》。
苏拯,[唐] ? ~ ?,唐人。昭宗光化中，与考功郎中苏璞叙宗党，后投卷误触忌讳。能诗。有集。
